isin,secid,name,list,weight,status,added,changed,note
RU000A10CZC7,RU000A10CZC7,Аэрфью2Р06,A,15,active,2026-09-14,2026-09-14,"A, +203 к пирам 14.09; разрыв метрик −1"
RU000A10FXM4,RU000A10FXM4,ГМС002Р-03,A,12,active,2026-09-14,2026-09-14,"A+, обе оси в плюс, ликвиднее 02"
RU000A10EA08,RU000A10EA08,iСЛ 2P2,A,10,active,2026-09-14,2026-09-14,"Софтлайн, A-, по рынку, разрыв 0"
RU000A10ERE6,RU000A10ERE6,АВТОБФ БП8,A,10,active,2026-09-14,2026-09-14,"A+, +70 к пирам; материнская 0,8x"
RU000A10FZ24,RU000A10FZ24,ИЭКХолд1Р6,A,10,active,2026-09-14,2026-09-14,"A-, по рынку; метрики AA-, разрыв +3"
RU000A1084B2,RU000A1084B2,СэтлГрБ2P3,A,10,active,2026-09-14,2026-09-14,"A, +56 к пирам, 2,7x с проектным долгом"
RU000A10DSL1,RU000A10DSL1,ПГК3Р02,A,8,active,2026-09-14,2026-09-14,"AA+, +148 к пирам; разрыв −6"
RU000A10G122,RU000A10G122,ПолипП2Б17,A,8,active,2026-09-14,2026-09-14,"A, +158 к пирам; разрыв −3"
RU000A10EW51,RU000A10EW51,АБЗ-1 2Р06,A,7,active,2026-09-14,2026-09-14,"A-, +67 к пирам; 2Р04 платит больше, но оборот ниже"
RU000A10FDV7,RU000A10FDV7,ПочтаР3P07,A,10,hold,2026-09-14,2026-09-15,"AA-, +155 к пирам, госкомпания; 15.09: реестр MOEX помечает выпуски Почты «технический дефолт», новостей о неплатеже нет, цена 99,5; рейтинга в книге нет — до выяснения"
RU000A10G072,RU000A10G072,ТатнхимP03,B,20,active,2026-09-14,2026-09-14,"BB+ АКРА, 2,1x/2,5x → BBB+; 1,2 млн из 6"
RU000A10E283,RU000A10E283,ХРОМОС Б4,B,16.7,active,2026-09-14,2026-09-14,"BB, покрытие 3,0x по данным 2023; 1,0 млн из 6"
RU000A10DG78,RU000A10DG78,АдвТрак1Р1,B,12.5,active,2026-09-14,2026-09-14,"BB, покрытие 6,0x → A+ по метрикам; 0,75 млн из 6"
RU000A10ECA6,RU000A10ECA6,АдвТрак1Р2,B,12.5,active,2026-09-14,2026-09-14,"BB, премия +147…+232, z 2–3; 0,75 млн из 6"
RU000A10ENA3,RU000A10ENA3,Йуми Б01,B,13.3,hold,2026-09-14,2026-09-15,"B+ по релизу, 1,7x/2,4x → BBB, выручка 2,3 млрд; 0,8 млн из 6; 15.09: спред +307 б.п. за 30 дней без новостей и без рейтинга в книге — разобрать причину"
RU000A10ERS6,RU000A10ERS6,Бустер Б03,B,13.3,wait,2026-09-14,2026-09-15,"B, 3,5x/2,1x → BBB, дороже пиров; 0,8 млн из 6; 15.09: оборот 0,7 млн/день — вне сита; выйти будет трудно"
RU000A10FX42,RU000A10FX42,АСГТРАФО-2,B,11.7,wait,2026-09-14,2026-09-15,"BB, 1,9x, выручка 1,5 млрд, первичка; 0,7 млн из 6; 15.09: оборот 0,6 млн/день — вне сита"
