date,isin,name,action,detail,note
2026-09-14,RU000A10CZC7,Аэрфью2Р06,add,A 15% в портфеле,"A, +203 к пирам 14.09; разрыв метрик −1"
2026-09-14,RU000A10FXM4,ГМС002Р-03,add,A 12% в портфеле,"A+, обе оси в плюс, ликвиднее 02"
2026-09-14,RU000A10FZ24,ИЭКХолд1Р6,add,A 10% в портфеле,"A-, по рынку; метрики AA-, разрыв +3"
2026-09-14,RU000A10ERE6,АВТОБФ БП8,add,A 10% в портфеле,"A+, +70 к пирам; материнская 0,8x"
2026-09-14,RU000A10EA08,iСЛ 2P2,add,A 10% в портфеле,"Софтлайн, A-, по рынку, разрыв 0"
2026-09-14,RU000A1084B2,СэтлГрБ2P3,add,A 10% в портфеле,"A, +56 к пирам, 2,7x с проектным долгом"
2026-09-14,RU000A10FDV7,ПочтаР3P07,add,A 10% в портфеле,"AA-, +155 к пирам, госкомпания"
2026-09-14,RU000A10DSL1,ПГК3Р02,add,A 8% в портфеле,"AA+, +148 к пирам; разрыв −6"
2026-09-14,RU000A10G122,ПолипП2Б17,add,A 8% в портфеле,"A, +158 к пирам; разрыв −3"
2026-09-14,RU000A10EW51,АБЗ-1 2Р06,add,A 7% в портфеле,"A-, +67 к пирам; 2Р04 платит больше, но оборот ниже"
2026-09-14,RU000A10DG78,АдвТрак1Р1,add,B 12.5% в портфеле,"BB, покрытие 6,0x → A+ по метрикам; 0,75 млн из 6"
2026-09-14,RU000A10ECA6,АдвТрак1Р2,add,B 12.5% в портфеле,"BB, премия +147…+232, z 2–3; 0,75 млн из 6"
2026-09-14,RU000A10G072,ТатнхимP03,add,B 20% в портфеле,"BB+ АКРА, 2,1x/2,5x → BBB+; 1,2 млн из 6"
2026-09-14,RU000A10E283,ХРОМОС Б4,add,B 16.7% в портфеле,"BB, покрытие 3,0x по данным 2023; 1,0 млн из 6"
2026-09-14,RU000A10ENA3,Йуми Б01,add,B 13.3% в портфеле,"B+ по релизу, 1,7x/2,4x → BBB, выручка 2,3 млрд; 0,8 млн из 6"
2026-09-14,RU000A10ERS6,Бустер Б03,add,B 13.3% в портфеле,"B, 3,5x/2,1x → BBB, дороже пиров; 0,8 млн из 6"
2026-09-14,RU000A10FX42,АСГТРАФО-2,add,B 11.7% в портфеле,"BB, 1,9x, выручка 1,5 млрд, первичка; 0,7 млн из 6"
2026-09-15,RU000A10FDV7,ПочтаР3P07,status,в портфеле → пауза,"реестр MOEX помечает выпуски Почты «технический дефолт», новостей о неплатеже нет, цена 99,5; рейтинга в книге нет — до выяснения"
2026-09-15,RU000A10ENA3,Йуми Б01,status,в портфеле → пауза,спред +307 б.п. за 30 дней без новостей и без рейтинга в книге — разобрать причину
2026-09-15,RU000A10ERS6,Бустер Б03,status,в портфеле → лист ожидания,"оборот 0,7 млн/день — вне сита; выйти будет трудно"
2026-09-15,RU000A10FX42,АСГТРАФО-2,status,в портфеле → лист ожидания,"оборот 0,6 млн/день — вне сита"
