inn,year,code,value,source,fetched
0276053190,2022,1200,145,girbo,2026-09-14
0276053190,2022,1210,31,girbo,2026-09-14
0276053190,2022,1250,114,girbo,2026-09-14
0276053190,2022,1300,34,girbo,2026-09-14
0276053190,2022,1370,34,girbo,2026-09-14
0276053190,2022,1500,111,girbo,2026-09-14
0276053190,2022,1520,111,girbo,2026-09-14
0276053190,2022,1600,145,girbo,2026-09-14
0276053190,2022,1700,145,girbo,2026-09-14
0276053190,2022,3600,0,girbo,2026-09-14
0276053190,2022,4100,12,girbo,2026-09-14
0276053190,2022,4110,2057,girbo,2026-09-14
0276053190,2022,4112,2057,girbo,2026-09-14
0276053190,2022,4120,2045,girbo,2026-09-14
0276053190,2022,4121,964,girbo,2026-09-14
0276053190,2022,4122,1062,girbo,2026-09-14
0276053190,2022,4129,19,girbo,2026-09-14
0276053190,2022,4400,12,girbo,2026-09-14
0276053190,2022,4450,102,girbo,2026-09-14
0276053190,2022,4500,114,girbo,2026-09-14
0276053190,2022,6100,272,girbo,2026-09-14
0276053190,2022,6200,2057,girbo,2026-09-14
0276053190,2022,6210,0,girbo,2026-09-14
0276053190,2022,6215,2057,girbo,2026-09-14
0276053190,2022,6300,2045,girbo,2026-09-14
0276053190,2022,6320,1062,girbo,2026-09-14
0276053190,2022,6321,1062,girbo,2026-09-14
0276053190,2022,6324,0,girbo,2026-09-14
0276053190,2022,6330,0,girbo,2026-09-14
0276053190,2022,6350,983,girbo,2026-09-14
0276053190,2022,6400,284,girbo,2026-09-14
0276053190,2022,prev1200,303,girbo,2026-09-14
0276053190,2022,prev1210,31,girbo,2026-09-14
0276053190,2022,prev1250,272,girbo,2026-09-14
0276053190,2022,prev1300,303,girbo,2026-09-14
0276053190,2022,prev1370,303,girbo,2026-09-14
0276053190,2022,prev1500,0,girbo,2026-09-14
0276053190,2022,prev1600,303,girbo,2026-09-14
0276053190,2022,prev1700,303,girbo,2026-09-14
0276053190,2022,prev3400,0,girbo,2026-09-14
0276053190,2022,prev3401,0,girbo,2026-09-14
0276053190,2022,prev3500,0,girbo,2026-09-14
0276053190,2022,prev3501,0,girbo,2026-09-14
0276053190,2022,prev3600,0,girbo,2026-09-14
0276053190,2022,prev4100,272,girbo,2026-09-14
0276053190,2022,prev4110,1751,girbo,2026-09-14
0276053190,2022,prev4112,1751,girbo,2026-09-14
0276053190,2022,prev4120,1479,girbo,2026-09-14
0276053190,2022,prev4121,607,girbo,2026-09-14
0276053190,2022,prev4122,693,girbo,2026-09-14
0276053190,2022,prev4129,179,girbo,2026-09-14
0276053190,2022,prev4400,272,girbo,2026-09-14
0276053190,2022,prev4500,272,girbo,2026-09-14
0276053190,2022,prev6200,1751,girbo,2026-09-14
0276053190,2022,prev6215,1751,girbo,2026-09-14
0276053190,2022,prev6300,1479,girbo,2026-09-14
0276053190,2022,prev6320,1300,girbo,2026-09-14
0276053190,2022,prev6321,693,girbo,2026-09-14
0276053190,2022,prev6324,607,girbo,2026-09-14
0276053190,2022,prev6330,164,girbo,2026-09-14
