inn,name,alias,isin,sector,emitter_id
7810708323,"АО ""АПРИ""",АПРИ,,,
2466127447,"ООО ""СИБСУЛЬФУР""",Сульфур1P2,,,
1659201991,"ООО ""ТОП16""",БалтЛизП16,,,
9705034527,"ООО ""КАРШЕРИНГ РУССИЯ""",iКарРус1P3,,,
7813379412,"АО ЛК ""РОДЕЛЕН""",Роделен2P6,,,
9702058488,"АО ХК ""УРАЛЬСКАЯ СТАЛЬ""",УралСт1Р05,,,
7706640206,"АО ""АВТОАССИСТАНС""",АВТОА1P01,,,
4821047912,"ООО ""ПАТРИОТ ГРУПП""",Патриот1Р1,,,
6500002920,"ООО ""СП15""",СамолетP15,,,
3123162663,"ООО ""ТЕХНО ЛИЗИНГ""",ТЕХЛиз,,,
1006012734,"ООО ""ФП-СЕГЕЖА""",Сегежа3P6R,,,
7455038949,"ООО ""ХЭЛП01""",ТАЛЬВЕН,,,
6164218952,"ООО ""МСБ-ЛИЗИНГ""",МСБЛиз3P07,,,
3666252214,"ООО ""ВУШ""",iВУШ,,,
2309146577,"БФ ""МОЯ СТРАНА""",Страна,,,
2221181380,"ООО ""КОКС""",Кокс01Р4,,,
7709923058,"ПО ""РКС""",РКС2Р6,,,
7751224751,"БФ ""БРУСНИКА""",Брус,,,
5638083039,"МБУ ""ЮЖНОУРАЛЬСКИЙ""",ЮУЛЦ,,,
7730233723,"ООО ПКО ""АЙДИ КОЛЛЕКТ""",АйДиКол1P9,,,
7705619586,"АО ""ЭТАЛОН-ФИНАНС""",ЭталонФин4,,,
7415083470,"ООО ТРК ""УРАЛКУЗ ТВ""",Уралкуз1Р1,,,
5407977286,"ООО ПКО ""ИНТЕЛ КОЛЛЕКТ""",ИнтелК,,,
5024167569,"АО ""МФК БП""",БДеньг-3P1,,,
6674223607,"ООО ""ВОКСИС""",ВОКСИС-03,,,
3301037024,"ООО ""ЭЛЕКТРОРЕШЕНИЯ-П""",ЭЛРЕШ,,,
7204173822,"ООО ""ФИЛБЕРТ""",Филберт01,,,
7708514824,"ГК ""АСВ"", АСВ.РФ",АСВ,,,
7727525853,"АО ""РЕ-ФИНАНС""",МВ,,,
7717761040,"ООО ""ГЛОРАКС""",ГЛОРАКС1Р5,,,
5024139265,"АО ""ТГК-7""",ТГК-14,,,
5024167569,"АО ""МФК БП""",ЛаймЗайм06,,,
7300023241,"ООО ""ПКО ""ФИНЭКВА""",Финэква1Р2,,,
0257013900,"ООО ""КЭМП02""",ПолипП2Б17,,,
5047254063,"АО ""РОЛЬФ""",РОЛЬФ,,,
9704005675,"ООО ""БИННОФАРМ ГРУПП""",БинФарм1P4,,,
1832003703,"АО ""РС-ЛИЗИНГ""",ПР-Лиз,,,
4501131883,"ООО ТД ""СИНАРА""",СТМ,,,
3848004833,"ООО ""АФК-СИСТЕМА""",Систем2P14,,,
3662250671,"ООО ""АТОМЭНЕРГОПРОМ""",Атомэнпр07,,,
7804016807,"АО ""АБЗ-1""",АБЗ-1,,,
8001001001,"ПК ""АГИНСКОЕ РАЙПО""",ТатнхимP03,,,
0816009199,"ППО УФПС РК АО ""ПОЧТА РОССИИ""",ПочтаР3P07,,,
3803302036,"ООО ""СПЭЙС""",АСпэйс,,,
9102256128,"АО ""ФАБРИКА""",iФабрик1Р1,,,
7706420120,"ООО ""ДЕЛОПОРТС""",ДелПорт1P5,,,
9714050902,"АО ""ГТЛК ВСМ""",ГТЛК,,,
7838360491,"ПАО ""ГРУППА ЛСР""",ЛСР,,,
7751252830,"АО ""ОДК""",ОДК1Р01,,,
7724635872,"ООО ""ИЭК ХОЛДИНГ""",ИЭКХолд1Р6,,,
1402047184,"ПАО ""СЕЛИГДАР""",Селигдар4Р,,,
7203383658,"ТРОО ""МФК ""ТЮМЕНЬ""",МаниМенБО1,,,
9731098069,"ООО ""БОРЕЦ КАПИТАЛ""",БорецК1Р07,,,
2309127380,"ООО ""ГИДРОМАШСЕРВИС""""",ГМС002Р-03,,,
2543068206,"ОО ""ЛЕГЕНДА""",ЛЕГЕНДА2P7,,,
7707449026,"ООО ""ДЖИ ПИ ДЖИ ГРУПП""",Джи-гр,,,
4825068840,"ООО ""СОФТЛАЙН""",iСЛ,,,
2536247123,"ООО ""ДЕЛЬТАЛИЗИНГ""",ДелЛиз1Р3,,,
2452024402,ПГК № 53,ПГК3Р04,,,
7702508905,"ПАО ""АРТГЕН""",АртгнБО02,,,
0257013900,"ООО ""КЭМП02""",ТрансКо2P5,,,
